,song_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1456,Baby I Need Your Loving,0.628,0.699,0,-6.112,0,0.416,0.0,0.216,0.639,121.376,166027,4
1457,She's A Rainbow,0.475,0.757,10,-9.788,1,0.444,0.0154,0.274,0.531,109.151,252333,4
1458,I Can't Get Started,0.55,0.175,0,-15.019,1,0.991,0.59,0.0393,0.388,75.599,286640,4
1459,Only Love Can Break Your Heart,0.587,0.805,7,-9.137,1,3.41e-05,0.391,0.17,0.744,102.401,269240,4
1460,Got Your Money,0.934,0.49,1,-5.972,1,0.0503,0.0,0.181,0.702,103.059,241747,4
1461,Californication,0.592,0.767,9,-2.788,0,0.0021,0.00165,0.127,0.328,96.483,329733,4
1462,Drunk in Love (feat. Jay-Z),0.583,0.621,5,-6.902,0,0.00972,0.00106,0.181,0.399,140.036,323480,4
1463,You Spin Me Round (Like a Record),0.567,0.943,6,-7.992,0,0.0312,0.0965,0.544,0.965,128.207,199667,4
1464,In a Mist,0.392,0.29,0,-19.273,1,0.996,0.958,0.112,0.485,175.04,163733,4
1465,Mama Said Knock You Out,0.788,0.807,10,-7.092,0,0.0501,0.454,0.334,0.62,102.396,292973,4
1466,Close Your Eyes (And Count to Fuck) [feat. Zack De La Rocha],0.72,0.663,1,-6.534,1,0.0127,0.0,0.141,0.487,79.944,234160,4
1467,Marcus Garvey,0.717,0.343,9,-14.58,0,0.101,0.00224,0.0423,0.553,91.312,204507,4
1468,Svefn - G - Englar,0.22,0.555,9,-9.04,1,0.557,0.716,0.111,0.0506,129.463,604267,3
1469,Epic,0.358,0.893,4,-7.486,0,0.0222,0.0524,0.126,0.262,174.238,293653,4
1470,Love Galore (feat. Travis Scott),0.795,0.594,0,-6.2,1,0.112,0.0,0.162,0.409,135.002,275080,4
1471,One Love / People Get Ready,0.702,0.326,0,-16.868,0,0.148,0.0,0.0548,0.918,76.435,175960,4
1472,Midnight Rambler,0.408,0.65,4,-10.201,1,0.76,2.53e-06,0.22,0.52,75.853,412760,4
1473,Freddie's Dead,0.532,0.79,1,-7.282,0,0.0617,0.00051,0.0942,0.959,91.268,324399,4
1474,Candle In The Wind,0.603,0.527,4,-9.008,1,0.259,3.75e-06,0.187,0.602,124.144,229667,4
1475,If I Didn't Care - From ''Radio Days'',0.527,0.112,1,-16.13,0,0.991,6.92e-05,0.111,0.221,90.404,187133,4
1476,"Caroline, No - Mono / Remastered",0.402,0.426,10,-9.662,0,0.775,6.12e-06,0.175,0.641,75.866,173933,4
1477,Zombie,0.309,0.649,7,-8.994,1,0.0158,0.00595,0.367,0.313,166.915,306440,4
1478,The Long And Winding Road - Remastered,0.299,0.329,3,-10.096,1,0.756,0.0105,0.0559,0.392,132.282,218187,4
1479,Powderfinger,0.483,0.688,7,-9.907,1,0.307,0.00932,0.1,0.56,107.349,330720,4
1480,The Look Of Love - Pt. 1,0.739,0.898,9,-4.566,0,0.112,0.00104,0.309,0.915,121.01,209160,4
1481,Chameleon,0.581,0.672,8,-8.279,1,0.104,0.856,0.0458,0.808,111.154,941360,4
1482,Rock Box,0.777,0.892,0,-4.555,1,0.171,1.79e-06,0.384,0.648,100.231,330573,4
1483,Diane Young,0.419,0.803,11,-5.498,1,0.032,3.7e-05,0.206,0.764,86.958,160067,4
1484,Tennessee Waltz,0.46,0.14,5,-12.204,1,0.968,0.000678,0.129,0.359,87.009,182267,3
1485,"Knowing Me, Knowing You",0.546,0.733,2,-7.073,1,0.0399,1.11e-06,0.235,0.91,107.285,241920,4
1486,Silent Shout,0.601,0.701,2,-10.488,1,0.107,0.89,0.123,0.388,128.559,293640,4
1487,Dawn Chorus,0.261,0.174,7,-16.161,1,0.854,0.893,0.169,0.0393,138.999,323080,4
1488,Dancing Barefoot,0.492,0.639,2,-9.944,1,0.235,0.0,0.0738,0.792,115.519,256533,4
1489,What Difference Does It Make? - 2011 Remaster,0.383,0.888,1,-6.503,0,0.000492,0.000174,0.0479,0.393,163.23,229867,4
1490,Shake,0.544,0.848,5,-7.483,1,0.759,0.0,0.466,0.765,151.303,170000,4
1491,All Tomorrow's Parties,0.358,0.567,2,-11.947,1,0.02,0.000124,0.109,0.168,94.08,357467,4
1492,I'll Be Around,0.593,0.791,8,-8.698,0,0.175,0.0,0.0976,0.63,112.295,188800,4
1493,I'd Rather Go Blind - Single Version,0.404,0.403,11,-6.585,0,0.635,0.000149,0.169,0.599,161.034,156667,3
1494,The Payback,0.866,0.639,6,-10.97,1,0.147,0.000177,0.793,0.792,97.901,459533,4
1495,Susie-Q,0.44,0.695,9,-6.164,1,0.179,0.0017,0.291,0.822,142.342,136733,4
1496,Venus As A Boy,0.297,0.375,1,-12.468,1,0.0322,0.0101,0.0577,0.786,68.1,282667,4
